Date,Open,High,Low,Close,Adj Close,Volume
2024-01-15,0.079969,0.081637,0.079969,0.081125,0.081125,272657967
2024-01-16,0.081106,0.082267,0.079990,0.081310,0.081310,328206882
2024-01-17,0.081312,0.081539,0.079556,0.080505,0.080505,261149597
2024-01-18,0.080509,0.080693,0.077399,0.077987,0.077987,314880990
2024-01-19,0.077988,0.078705,0.075152,0.078536,0.078536,351038255
2024-01-20,0.078534,0.089998,0.078236,0.087888,0.087888,684267184
2024-01-21,0.087868,0.089992,0.084843,0.085273,0.085273,948730356
2024-01-22,0.085292,0.085416,0.080195,0.080341,0.080341,673330908
2024-01-23,0.080346,0.081677,0.076091,0.078154,0.078154,555482191
2024-01-24,0.078157,0.080518,0.077750,0.079016,0.079016,372585722
2024-01-25,0.079016,0.079137,0.077193,0.077933,0.077933,292888748
2024-01-26,0.077929,0.080279,0.077595,0.079901,0.079901,283895680
2024-01-27,0.079883,0.080678,0.079071,0.080142,0.080142,212327663
2024-01-28,0.080140,0.081370,0.078292,0.078813,0.078813,257196385
2024-01-29,0.078813,0.082872,0.078223,0.081289,0.081289,540569157
2024-01-30,0.081300,0.082129,0.079593,0.079723,0.079723,333456483
2024-01-31,0.079729,0.080222,0.078214,0.078764,0.078764,307301569
2024-02-01,0.078763,0.079779,0.077684,0.079327,0.079327,257042563
2024-02-02,0.079327,0.079901,0.078622,0.079233,0.079233,220161256
2024-02-03,0.079234,0.079455,0.078616,0.078651,0.078651,152907809
2024-02-04,0.078658,0.079857,0.078084,0.078238,0.078238,183715849
2024-02-05,0.078248,0.080027,0.077504,0.078220,0.078220,257544919
2024-02-06,0.078226,0.079181,0.077763,0.078466,0.078466,192061699
2024-02-07,0.078470,0.080255,0.078211,0.080104,0.080104,213373948
2024-02-08,0.080101,0.080755,0.079626,0.079871,0.079871,248828595
2024-02-09,0.079870,0.082088,0.079870,0.081579,0.081579,333635097
2024-02-10,0.081582,0.082083,0.080462,0.081448,0.081448,212946391
2024-02-11,0.081447,0.083279,0.080992,0.081193,0.081193,304303558
